attendance,internal_marks,assignment_score,quiz_score,previous_gpa,semester,gender,AcademicRisk
71.19,59.34,88.5,52.28,2.76,7,Male,Medium Risk
76.09,99.92,76.14,50.06,2.38,3,Male,Low Risk
24.28,52.7,22.34,3.76,2.83,6,Female,High Risk
50.44,69.68,87.45,71.88,3.63,3,Male,Low Risk
99.99,35.0,87.04,75.09,2.54,7,Other,Low Risk
56.74,41.53,76.6,52.32,3.39,6,Male,Medium Risk
95.97,67.31,60.26,74.67,3.52,4,Female,Low Risk
95.3,87.24,99.83,81.75,3.18,2,Male,Low Risk
75.83,40.54,98.9,53.42,3.75,3,Male,Low Risk
84.69,67.19,51.8,59.85,2.16,3,Male,Medium Risk
31.42,30.14,19.34,80.11,3.86,5,Female,Medium Risk
74.1,83.13,99.64,95.32,2.07,6,Female,Low Risk
78.54,49.76,85.51,65.76,3.53,1,Female,Low Risk
92.28,5.33,12.12,70.2,2.42,6,Female,Medium Risk
53.66,50.14,91.29,59.65,3.64,4,Male,Medium Risk
53.68,70.62,98.72,74.28,2.5,4,Female,Medium Risk
58.48,56.14,76.36,58.07,2.23,5,Male,Medium Risk
90.3,72.19,84.29,66.62,3.83,1,Male,Low Risk
85.24,44.67,64.67,86.8,2.01,4,Male,Medium Risk
79.79,77.72,86.88,29.29,1.86,6,Male,Medium Risk
51.32,76.84,82.61,61.34,3.7,7,Male,Low Risk
0.49,72.95,94.89,75.65,1.89,2,Female,Medium Risk
64.95,72.18,82.69,79.53,3.81,6,Female,Low Risk
82.91,74.94,86.2,98.35,2.76,6,Other,Low Risk
65.5,99.56,1.58,55.76,3.0,4,Other,Medium Risk
30.63,19.82,95.46,81.06,1.37,4,Other,High Risk
48.74,97.7,65.65,69.92,3.27,8,Other,Low Risk
39.14,79.7,78.4,37.56,2.49,7,Male,Medium Risk
68.19,53.09,56.48,77.58,3.24,2,Female,Medium Risk
98.31,67.21,93.03,62.53,3.92,1,Other,Low Risk
71.46,51.44,85.14,94.92,2.18,2,Male,Medium Risk
53.75,33.52,78.5,63.95,0.03,6,Female,High Risk
63.36,76.62,65.01,53.83,2.74,3,Male,Medium Risk
51.01,70.67,68.01,80.46,3.48,3,Male,Low Risk
60.39,60.71,87.74,88.55,2.35,2,Female,Medium Risk
29.48,66.36,83.62,1.82,2.38,2,Male,High Risk
20.14,60.05,97.99,38.58,2.59,3,Male,Medium Risk
90.03,72.57,6.86,69.18,2.53,3,Other,Medium Risk
78.22,69.67,86.68,54.27,3.41,5,Male,Low Risk
50.48,96.26,86.22,81.07,2.99,1,Female,Low Risk
53.38,78.94,96.7,58.69,2.93,4,Female,Low Risk
95.79,58.44,67.91,53.13,3.23,5,Other,Low Risk
68.42,60.87,61.47,52.31,2.38,5,Male,Medium Risk
60.97,84.31,85.01,69.5,3.4,7,Female,Low Risk
97.54,32.39,32.89,74.02,3.77,2,Female,Low Risk
32.6,12.82,98.22,67.67,3.4,6,Other,Medium Risk
88.65,44.87,36.98,25.35,0.53,1,Female,High Risk
69.71,62.04,51.36,66.64,2.62,6,Male,Medium Risk
82.14,92.39,52.73,70.72,3.62,8,Male,Low Risk
91.27,96.19,27.5,86.12,3.65,8,Male,Low Risk
95.3,63.95,81.68,89.6,3.01,8,Female,Low Risk
45.38,64.71,75.6,94.95,1.4,5,Male,Medium Risk
74.22,96.68,82.47,77.95,3.7,3,Female,Low Risk
89.23,48.33,71.92,93.02,2.99,2,Female,Low Risk
37.31,56.51,27.03,16.06,3.1,2,Female,High Risk
31.04,96.68,43.92,44.71,2.21,4,Female,Medium Risk
45.25,84.27,32.39,47.98,3.91,3,Female,Medium Risk
47.39,98.66,9.38,41.24,3.5,1,Male,Medium Risk
50.7,92.71,60.6,63.57,2.17,8,Male,Medium Risk
95.33,52.69,80.47,94.63,2.66,5,Female,Low Risk
50.29,50.53,58.26,39.51,3.15,8,Other,Medium Risk
62.89,52.08,84.4,82.99,2.62,2,Male,Medium Risk
78.26,72.16,79.1,84.7,2.86,7,Female,Low Risk
80.67,72.36,58.43,76.21,3.83,8,Male,Low Risk
67.47,93.03,54.55,92.41,3.32,4,Female,Low Risk
60.9,72.82,59.06,91.35,3.1,4,Male,Low Risk
69.05,1.65,95.81,58.56,3.13,2,Female,Medium Risk
57.69,89.62,76.08,61.78,3.99,7,Male,Low Risk
88.9,79.08,71.2,51.27,2.64,2,Male,Low Risk
75.73,63.46,95.16,85.39,2.55,3,Male,Low Risk
77.77,10.76,11.82,65.75,2.77,3,Other,Medium Risk
70.38,35.54,59.55,22.35,0.67,8,Female,High Risk
64.09,94.03,33.22,58.49,3.61,4,Male,Low Risk
83.6,76.5,97.49,95.23,3.89,5,Male,Low Risk
80.43,81.87,59.78,95.29,3.18,2,Male,Low Risk
90.46,43.8,61.34,69.12,3.24,2,Male,Low Risk
31.06,78.36,32.8,92.09,1.07,4,Male,High Risk
92.97,92.79,55.48,52.3,2.47,6,Male,Low Risk
96.65,65.2,55.89,81.77,2.69,1,Female,Low Risk
54.19,85.51,38.95,92.19,3.91,2,Female,Low Risk
56.86,53.03,78.92,98.83,3.56,5,Female,Low Risk
70.68,93.45,33.11,78.12,2.92,5,Other,Low Risk
20.04,10.72,82.53,46.03,3.53,2,Male,High Risk
22.5,28.05,44.21,26.87,2.77,2,Female,High Risk
27.33,6.18,37.68,81.02,2.88,5,Other,High Risk
55.84,63.28,81.9,99.54,2.08,2,Female,Medium Risk
99.97,76.07,65.02,60.17,3.01,8,Male,Low Risk
6.5,64.26,65.69,83.85,3.49,8,Male,Medium Risk
63.97,81.75,85.12,80.77,3.56,5,Male,Low Risk
3.18,51.1,8.58,57.38,2.04,1,Male,High Risk
59.54,94.67,88.64,99.64,2.52,2,Female,Low Risk
53.81,49.5,57.09,71.14,3.93,5,Male,Medium Risk
58.82,99.97,79.97,92.36,2.7,8,Other,Low Risk
92.62,56.85,96.94,81.05,2.55,1,Female,Low Risk
78.77,78.18,7.09,96.2,3.42,7,Other,Low Risk
93.3,80.44,46.74,78.48,0.07,6,Male,Medium Risk
69.56,96.28,92.36,67.17,3.0,1,Male,Low Risk
53.17,50.8,62.94,64.83,3.55,7,Male,Medium Risk
80.63,57.51,99.86,88.57,3.34,8,Female,Low Risk
98.16,55.54,79.22,68.86,3.59,3,Male,Low Risk
45.49,95.43,28.67,86.63,3.69,6,Female,Low Risk
75.2,55.59,90.42,61.4,2.91,1,Male,Low Risk
51.91,83.44,53.26,51.43,2.22,7,Male,Medium Risk
4.04,14.67,46.25,15.75,2.08,4,Other,High Risk
79.41,65.74,53.35,60.72,2.37,2,Male,Medium Risk
37.06,20.37,11.15,11.99,4.0,6,Female,High Risk
91.02,56.5,74.7,68.47,3.9,8,Male,Low Risk
81.56,49.57,77.0,58.83,2.32,8,Male,Medium Risk
51.11,55.63,62.59,54.18,2.09,6,Female,Medium Risk
88.01,81.89,71.39,15.41,0.19,6,Female,Medium Risk
67.14,94.43,67.05,61.75,2.84,3,Female,Low Risk
79.88,67.62,70.24,72.78,3.33,8,Female,Low Risk
61.83,66.77,92.28,78.11,2.96,5,Other,Low Risk
72.69,55.14,79.22,51.24,2.83,2,Male,Medium Risk
83.96,50.99,53.99,53.04,2.48,3,Female,Medium Risk
81.64,47.73,76.28,94.96,2.18,4,Male,Medium Risk
71.03,77.97,77.82,26.95,2.62,7,Male,Medium Risk
61.13,79.05,61.19,88.91,2.54,7,Male,Medium Risk
91.73,95.24,96.83,67.3,3.0,6,Male,Low Risk
82.79,74.92,78.76,68.49,2.37,8,Male,Low Risk
87.34,51.07,72.96,51.95,3.97,6,Female,Low Risk
6.26,75.5,51.38,7.47,2.72,5,Other,High Risk
97.67,50.57,86.61,63.95,3.88,2,Female,Low Risk
74.6,80.42,78.27,66.38,2.03,8,Male,Medium Risk
17.73,81.4,35.35,46.09,1.55,4,Female,High Risk
92.64,78.27,53.89,86.52,2.55,8,Female,Low Risk
92.24,8.78,11.4,92.96,3.79,3,Male,Medium Risk
72.64,93.73,80.39,64.62,3.6,2,Male,Low Risk
63.57,29.41,24.91,42.96,3.2,2,Other,Medium Risk
94.66,72.78,12.69,93.77,2.33,7,Female,Medium Risk
58.95,86.52,31.8,48.35,3.8,5,Other,Medium Risk
98.45,60.18,84.18,55.26,2.78,8,Female,Low Risk
75.96,43.06,97.86,85.46,3.16,8,Female,Low Risk
82.01,25.67,74.53,7.37,3.06,6,Other,Medium Risk
90.74,51.64,99.54,94.11,2.56,3,Male,Low Risk
87.19,95.02,94.53,83.66,3.4,6,Male,Low Risk
0.24,34.45,70.48,39.31,0.88,5,Female,High Risk
80.46,74.4,52.46,61.5,3.8,7,Male,Low Risk
69.76,67.01,38.21,82.85,0.94,4,Male,Medium Risk
16.03,61.04,79.09,82.19,1.24,8,Female,High Risk
66.88,67.11,95.95,34.65,1.2,2,Female,Medium Risk
51.09,88.15,89.12,80.21,3.61,2,Female,Low Risk
52.81,85.45,92.55,94.09,3.44,4,Female,Low Risk
