attendance,internal_marks,assignment_score,quiz_score,previous_gpa,semester,gender,performance_score,AcademicRisk
37.13,5.23,74.25,15.07,1.03,8,Other,30.16,High Risk
88.68,69.75,90.49,85.55,2.18,8,Other,76.15,Low Risk
88.74,4.89,75.41,35.47,2.59,5,Female,55.98,Medium Risk
4.09,31.47,87.79,91.2,0.44,8,Female,36.91,High Risk
15.7,77.83,79.8,74.66,0.08,5,Male,43.16,High Risk
97.46,34.82,21.42,96.9,3.68,2,Male,72.08,Low Risk
98.21,60.72,42.5,37.0,1.67,2,Male,59.06,Medium Risk
16.22,33.24,33.13,45.42,0.76,6,Male,27.24,High Risk
89.66,15.63,90.98,21.64,3.98,8,Female,67.31,Medium Risk
76.5,73.73,9.52,59.5,2.63,3,Other,60.66,Medium Risk
98.57,98.47,25.11,88.31,2.88,4,Female,79.35,Low Risk
14.02,43.79,48.62,63.74,2.1,5,Male,42.24,High Risk
52.15,67.45,67.5,14.02,0.23,4,Female,40.19,High Risk
71.68,46.65,36.13,85.26,2.29,3,Male,59.77,Medium Risk
0.88,24.25,97.85,98.91,0.84,6,Female,39.83,High Risk
28.78,67.91,5.41,95.59,3.92,8,Other,60.43,Medium Risk
32.42,86.33,92.11,95.41,3.6,7,Female,76.0,Low Risk
50.95,11.16,98.53,12.54,1.65,2,Other,41.94,High Risk
92.13,68.89,83.68,96.34,2.8,4,Female,81.31,Low Risk
14.53,99.7,3.02,59.73,2.6,5,Other,49.23,High Risk
60.86,64.96,79.92,71.02,3.17,7,Male,70.66,Low Risk
83.62,92.82,63.65,99.49,0.13,4,Other,64.75,Medium Risk
61.36,22.84,59.22,37.93,0.75,5,Male,39.17,High Risk
37.06,20.37,11.15,11.99,4.0,6,Female,41.81,High Risk
39.71,72.54,37.63,57.87,2.84,8,Male,56.51,Medium Risk
36.64,74.63,12.42,33.18,2.87,7,Female,48.86,High Risk
96.8,42.88,27.68,42.64,0.85,1,Other,48.64,High Risk
75.39,85.76,82.49,19.32,3.24,1,Female,71.52,Low Risk
69.94,48.43,91.88,80.68,0.42,8,Male,55.68,Medium Risk
58.23,47.74,76.26,41.5,3.41,5,Male,63.08,Medium Risk
4.71,71.09,28.69,65.17,2.51,7,Male,45.16,High Risk
79.36,24.59,61.19,90.12,2.27,1,Male,61.64,Medium Risk
77.88,59.69,80.94,59.15,3.19,2,Other,72.36,Low Risk
90.19,67.59,87.76,72.77,1.75,6,Other,71.08,Low Risk
69.35,71.64,22.11,62.9,2.62,4,Other,60.79,Medium Risk
87.57,29.53,42.54,95.9,3.78,7,Other,72.19,Low Risk
96.47,96.64,67.44,88.17,1.75,1,Male,77.72,Low Risk
88.94,66.78,80.66,38.9,2.77,5,Male,70.84,Low Risk
68.03,47.66,74.46,13.43,1.79,1,Female,50.91,Medium Risk
69.43,58.11,19.98,80.41,2.86,1,Other,61.91,Medium Risk
5.9,30.37,42.13,17.98,1.68,2,Male,27.07,High Risk
26.17,27.81,92.78,16.51,3.95,4,Male,53.19,Medium Risk
47.08,36.45,62.41,82.86,0.97,1,Female,46.91,High Risk
98.25,83.19,61.63,11.09,3.12,6,Male,71.61,Low Risk
83.32,75.6,66.64,70.63,2.65,2,Female,73.1,Low Risk
82.76,63.17,75.81,35.45,3.88,4,Other,74.26,Low Risk
99.18,64.57,14.25,82.93,3.01,3,Other,71.1,Low Risk
22.97,83.06,15.91,98.02,0.9,8,Female,45.07,High Risk
84.27,64.23,43.19,22.6,1.92,4,Other,55.78,Medium Risk
24.41,85.44,3.45,70.89,4.0,5,Male,59.34,Medium Risk
86.48,27.97,98.15,88.74,3.43,3,Male,76.69,Low Risk
55.57,15.81,40.73,66.4,1.97,7,Female,45.44,High Risk
89.43,27.68,65.84,8.8,1.9,6,Male,50.96,Medium Risk
35.73,44.29,65.8,42.69,2.93,3,Male,52.38,Medium Risk
87.83,70.9,86.19,38.65,3.08,2,Other,74.11,Low Risk
72.51,26.35,32.92,24.69,3.83,6,Male,55.98,Medium Risk
69.84,2.27,77.67,50.7,1.39,6,Other,45.86,High Risk
44.31,34.45,75.33,54.29,1.03,6,Male,43.85,High Risk
69.34,8.51,37.39,74.44,2.89,3,Female,53.87,Medium Risk
0.79,82.54,32.16,13.78,2.07,2,Other,36.53,High Risk
27.49,42.91,39.48,30.15,0.55,1,Female,29.34,High Risk
14.72,67.74,39.58,28.99,0.13,2,Other,28.33,High Risk
54.37,28.68,6.2,13.67,2.24,6,Other,36.31,High Risk
93.52,10.32,63.51,79.23,1.06,5,Other,53.48,Medium Risk
20.7,42.27,17.61,13.47,3.44,2,Male,39.79,High Risk
99.62,65.01,60.66,55.76,3.06,3,Other,74.5,Low Risk
56.53,4.3,7.93,69.61,0.29,1,Female,28.44,High Risk
1.28,18.3,81.09,52.35,2.5,6,Female,39.62,High Risk
61.56,75.16,70.32,65.67,3.32,2,Other,71.57,Low Risk
97.19,40.06,78.57,74.12,3.95,6,Other,79.9,Low Risk
45.25,84.27,32.39,47.98,3.91,3,Female,64.66,Medium Risk
49.36,93.67,37.78,26.32,3.98,7,Female,65.56,Medium Risk
38.34,93.83,36.36,75.67,3.69,7,Other,68.22,Medium Risk
78.58,95.2,40.03,75.7,2.6,3,Female,72.29,Low Risk
72.57,28.38,7.05,68.33,0.01,4,Other,35.19,High Risk
78.9,83.16,99.56,53.91,3.47,7,Female,81.06,Low Risk
96.57,54.24,77.24,95.47,3.24,8,Female,81.15,Low Risk
41.69,53.74,48.71,10.73,0.95,8,Female,36.02,High Risk
21.12,12.86,38.0,57.58,1.44,7,Female,31.19,High Risk
31.14,17.25,86.94,97.08,1.83,6,Male,50.28,Medium Risk
74.67,51.66,60.39,39.61,0.17,6,Male,45.06,High Risk
46.16,38.76,55.66,97.01,1.26,8,Female,50.07,Medium Risk
79.48,66.76,98.33,44.16,2.97,8,Other,73.16,Low Risk
31.79,74.45,14.65,56.07,1.5,5,Female,42.82,High Risk
86.54,38.64,39.59,30.49,2.07,8,Female,52.81,Medium Risk
65.17,28.46,32.69,94.73,3.44,3,Female,62.6,Medium Risk
29.77,99.63,23.08,91.29,3.67,8,Female,67.46,Medium Risk
4.97,18.55,31.91,31.98,3.83,1,Male,38.47,High Risk
16.83,29.21,33.69,45.44,2.81,7,Male,39.48,High Risk
47.25,50.98,31.22,96.95,2.93,1,Female,59.55,Medium Risk
73.99,13.72,79.26,7.86,2.0,3,Female,46.81,High Risk
91.82,54.32,91.83,87.02,1.89,4,Male,72.46,Low Risk
32.97,96.97,47.47,37.22,2.69,7,Female,57.15,Medium Risk
97.1,99.07,75.15,83.72,0.41,5,Male,70.48,Low Risk
11.55,97.31,92.23,32.51,1.04,7,Female,47.56,High Risk
99.05,61.84,56.7,85.02,3.16,5,Other,78.14,Low Risk
81.97,39.19,34.85,58.3,1.86,8,Other,53.93,Medium Risk
93.38,29.13,51.25,80.68,2.77,5,Female,66.27,Medium Risk
76.68,24.95,75.95,56.74,1.47,1,Male,53.25,Medium Risk
10.64,99.91,66.57,65.01,0.36,6,Other,44.63,High Risk
95.42,99.05,83.32,44.39,2.19,6,Male,76.51,Low Risk
82.75,93.97,66.59,96.45,3.74,8,Male,87.31,Low Risk
87.54,85.97,44.23,16.85,2.31,8,Female,62.68,Medium Risk
13.08,86.24,82.8,35.1,2.76,8,Female,55.45,Medium Risk
6.99,59.99,10.71,27.67,2.03,8,Male,32.19,High Risk
96.31,74.02,11.8,89.0,3.35,6,Male,74.94,Low Risk
89.03,91.18,53.48,93.87,3.03,6,Female,81.53,Low Risk
97.29,67.55,50.77,62.99,3.99,1,Male,79.83,Low Risk
2.33,15.35,56.23,65.31,2.6,4,Other,38.13,High Risk
42.94,35.7,91.27,91.98,2.6,7,Male,61.61,Medium Risk
15.08,71.45,46.97,85.29,3.63,3,Other,60.59,Medium Risk
46.49,88.14,63.54,62.35,1.17,7,Male,55.45,Medium Risk
29.43,34.36,45.28,50.57,3.94,5,Male,53.23,Medium Risk
80.89,78.31,88.63,52.17,2.63,2,Other,73.44,Low Risk
96.81,96.87,36.26,78.62,2.21,8,Male,74.62,Low Risk
81.32,31.84,79.92,60.07,0.87,5,Female,53.13,Medium Risk
81.7,43.6,70.89,94.21,3.78,8,Male,77.53,Low Risk
22.83,93.18,57.12,42.25,2.24,3,Female,53.25,Medium Risk
95.42,65.56,44.37,86.21,2.56,5,Female,72.55,Low Risk
5.54,17.46,5.34,59.11,2.72,7,Female,31.54,High Risk
35.78,77.56,69.51,66.59,3.32,2,Male,65.62,Medium Risk
64.61,95.8,86.78,98.14,1.29,5,Female,71.11,Low Risk
5.22,9.26,8.82,95.26,2.74,8,Female,35.89,High Risk
34.11,57.05,89.16,65.24,2.41,6,Female,58.16,Medium Risk
78.98,61.26,81.32,40.42,3.44,4,Other,71.76,Low Risk
66.22,54.15,13.15,22.26,0.89,7,Female,38.26,High Risk
60.76,95.9,83.2,81.42,1.36,5,Female,67.56,Medium Risk
0.27,29.88,55.5,33.41,1.09,5,Female,26.19,High Risk
61.77,61.03,98.67,8.84,3.9,4,Male,68.15,Medium Risk
38.65,98.56,76.51,55.41,3.74,8,Female,72.54,Low Risk
28.68,13.0,50.12,22.0,3.74,7,Male,43.96,High Risk
59.94,92.89,83.25,64.79,2.86,6,Male,73.64,Low Risk
73.47,64.22,50.02,98.76,3.84,7,Other,77.53,Low Risk
93.59,8.16,41.46,57.68,0.92,5,Male,45.65,High Risk
83.27,87.23,97.89,95.97,2.54,2,Other,83.22,Low Risk
63.51,40.31,15.45,40.14,1.33,8,Other,40.59,High Risk
51.63,77.89,61.19,84.77,3.28,2,Other,70.88,Low Risk
64.91,67.02,76.29,5.81,1.47,6,Female,51.13,Medium Risk
49.29,89.45,88.71,48.64,3.47,6,Other,72.5,Low Risk
62.68,83.92,73.99,84.06,2.5,3,Female,71.79,Low Risk
78.17,39.03,6.59,79.27,2.39,7,Other,55.16,Medium Risk
2.9,24.08,14.3,77.68,0.79,1,Other,24.28,High Risk
6.75,51.22,25.86,66.29,0.47,4,Other,28.69,High Risk
75.5,3.72,55.38,57.59,1.21,1,Other,44.13,High Risk
71.51,26.66,55.6,85.53,1.0,7,Other,50.63,Medium Risk
65.24,31.62,78.74,54.91,1.73,5,Female,53.49,Medium Risk
77.87,54.54,72.27,41.39,3.16,2,Other,67.17,Medium Risk
24.52,85.95,89.18,60.69,3.93,2,Male,70.36,Low Risk
81.58,17.65,5.18,75.59,1.4,2,Female,44.79,High Risk
58.41,7.4,95.84,30.51,1.44,6,Female,44.04,High Risk
60.94,17.22,54.34,76.54,2.08,5,Other,51.31,Medium Risk
58.22,41.2,46.51,20.83,3.25,3,Other,53.21,Medium Risk
23.27,83.66,14.58,22.67,2.19,8,Male,41.82,High Risk
59.08,36.04,28.87,20.29,3.65,7,Other,52.16,Medium Risk
25.94,24.98,98.94,86.9,2.95,1,Male,57.79,Medium Risk
59.23,53.96,7.55,89.34,2.5,2,Female,55.76,Medium Risk
9.4,94.99,74.85,87.63,0.55,7,Male,49.16,High Risk
27.85,71.48,61.78,81.28,1.62,1,Female,52.84,Medium Risk
82.17,46.31,23.69,49.07,1.0,8,Female,46.97,High Risk
59.16,99.05,49.55,42.59,3.96,4,Male,73.17,Low Risk
26.13,8.35,54.19,12.37,2.59,1,Other,34.37,High Risk
4.49,82.45,42.09,41.48,1.31,2,Other,38.34,High Risk
50.76,76.66,1.76,56.39,0.69,4,Male,41.06,High Risk
78.17,68.95,56.19,82.06,3.41,1,Female,75.38,Low Risk
49.55,35.63,56.06,48.06,2.71,2,Other,52.07,Medium Risk
21.27,68.49,82.8,10.95,1.6,4,Other,43.08,High Risk
71.09,28.26,54.27,52.66,0.99,4,Female,45.65,High Risk
26.69,37.15,42.25,74.75,3.7,7,Male,54.78,Medium Risk
69.28,90.66,96.85,58.66,3.84,4,Male,82.78,Low Risk
93.76,90.23,2.04,79.18,1.8,4,Other,64.92,Medium Risk
90.28,84.87,42.45,90.9,0.48,5,Male,62.55,Medium Risk
94.42,35.62,41.94,69.85,2.44,8,Female,62.75,Medium Risk
83.23,87.95,17.12,69.93,3.21,6,Male,71.52,Low Risk
88.56,47.65,74.41,48.48,1.86,7,Female,61.73,Medium Risk
80.14,47.57,19.18,63.98,0.32,6,Female,44.02,High Risk
